pool_id,site,garage,station,gold
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-793,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-795,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-802,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-803,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-804,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-805,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-806,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-807,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-808,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-811,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-191-812,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-193-816,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-193-819,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-193-820,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-193-825,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-193-827,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-193-829,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-194-818,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-194-821,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-194-822,True
jpl__Arroyo_Garage_01,jpl,Arroyo_Garage_01,1-1-194-826,True
office001__Parking_Lot_01,office001,Parking_Lot_01,19-102-260-1633,True
office001__Parking_Lot_01,office001,Parking_Lot_01,19-102-260-1634,True
office001__Parking_Lot_01,office001,Parking_Lot_01,19-102-260-1635,True
office001__Parking_Lot_01,office001,Parking_Lot_01,19-102-260-1636,True
office001__Parking_Lot_01,office001,Parking_Lot_01,19-102-260-1637,True
office001__Parking_Lot_01,office001,Parking_Lot_01,19-102-260-1638,True
office001__Parking_Lot_01,office001,Parking_Lot_01,19-102-260-1639,True
office001__Parking_Lot_01,office001,Parking_Lot_01,19-102-260-1640,True
