site,station_id,direction,median,mean,std,count
caltech,2-105-277-1696,down,1.5024711206383239,1.2423186817469343,0.692302119127154,21
caltech,2-105-277-1696,up,0.0,0.33324611501256507,0.45744001381691496,192
caltech,2-105-277-1697,down,1.8004650938294522,1.4560606605901463,0.6958204847978254,46
caltech,2-105-277-1697,up,0.0,0.3100904200762597,0.4502027700119862,465
caltech,2-105-277-1698,down,1.5170826615256414,1.3039789411244216,0.742581876994619,26
caltech,2-105-277-1698,up,0.0,0.3439953915626474,0.4737263080913572,296
caltech,2-105-277-1699,down,0.826113313126603,0.9723350046033866,0.8408971770840756,51
caltech,2-105-277-1699,up,0.0,0.2921885405887252,0.4764992008970717,286
caltech,2-137-440-2984,up,0.0,0.0,,1
caltech,2-137-440-2991,down,0.010682402784082546,0.010682402784082546,,1
caltech,2-137-440-2991,up,0.0,0.0,0.0,2
caltech,2-137-441-3010,down,1.0,1.0,1.4142135623730951,2
caltech,2-137-441-3010,up,0.0,0.0,,1
caltech,2-137-441-3017,down,0.07653988556041741,0.07653988556041741,,1
caltech,2-137-441-3022,down,1.3193211642239981,1.3193211642239981,0.9626252411747505,2
caltech,2-137-441-3022,up,0.0,0.0,0.0,3
caltech,2-39-123-23,down,0.092395104895105,0.459864599073972,0.6476852726431616,77
caltech,2-39-123-23,up,0.0,0.22842488103988826,0.4870054073689182,93
caltech,2-39-123-557,down,0.09631871823675746,0.4254388844717453,0.6680623471610174,26
caltech,2-39-123-557,up,0.0,0.22352217794115986,0.4377204170040608,19
caltech,2-39-124-22,down,0.13464075895845054,0.6686290189654615,0.8090121529624528,57
caltech,2-39-124-22,up,0.3112592227856316,0.5013115750604087,0.578477341802073,104
caltech,2-39-124-558,down,1.235493984340187,1.097275276908239,0.7965079932859693,7
caltech,2-39-124-558,up,0.005438006723353498,0.240909236829435,0.40030583825842436,33
caltech,2-39-125-21,down,0.03334985864161984,0.390090919984144,0.6336049530847571,75
